article_id,title,link,creator,published_at,created_at
AKR20260522073900001,"정원오, 구의역 추모행사 찾아 ""안전하게 일할 권리 있는 서울""",https://www.yna.co.kr/view/AKR20260522073900001,김정진,2026-05-22T12:12:12+09:00,2026-05-22T18:51:27.273621+09:00
AKR20260522072100001,鄭·吳 대결 대혼전…'초접전'·'鄭 오차밖 우세' 여론조사 혼재,https://www.yna.co.kr/view/AKR20260522072100001,서혜림,2026-05-22T12:11:21+09:00,2026-05-22T18:51:27.273661+09:00
AKR20260522025400001,"""공무원 해외교육 결과보고서 1천385건 중 11건 AI 부적절 활용""",https://www.yna.co.kr/view/AKR20260522025400001,이상현,2026-05-22T12:00:04+09:00,2026-05-22T18:51:27.273694+09:00
AKR20260522028500001,"감사원, 인사처·서울대와 적극행정 활성화 방안 논의",https://www.yna.co.kr/view/AKR20260522028500001,이상현,2026-05-22T12:00:03+09:00,2026-05-22T18:51:27.273726+09:00
AKR20260522073400504,"국방부, '평양 무인기 사건' 정찰드론 전력화 과정 감사",https://www.yna.co.kr/view/AKR20260522073400504,김효정,2026-05-22T11:51:44+09:00,2026-05-22T18:51:27.273764+09:00
AKR20260522067700001,"오세훈 ""鄭 무능부패 드러나고 있다""…한강벨트서 '부동산' 공세",https://www.yna.co.kr/view/AKR20260522067700001,박수윤,2026-05-22T11:45:37+09:00,2026-05-22T18:51:27.273812+09:00
AKR20260522069500061,"평택시장 후보 최원용·차화열, 토론회서 공방…""내가 적임자""",https://www.yna.co.kr/view/AKR20260522069500061,김광호,2026-05-22T11:42:43+09:00,2026-05-22T18:51:27.273848+09:00
AKR20260521185200063,"[르포] ""박수현이 정부와 소통 잘되니…"" vs ""김태흠이 일 많이 했잖아""",https://www.yna.co.kr/view/AKR20260521185200063,이주형,2026-05-22T11:30:01+09:00,2026-05-22T18:51:27.273890+09:00
AKR20260522066700001,"與, 'GTX 철근누락' 吳 때리기…""선거 이기려 국민 안전 뒷전""",https://www.yna.co.kr/view/AKR20260522066700001,안정훈,2026-05-22T11:29:46+09:00,2026-05-22T18:51:27.273923+09:00
AKR20260522067500062,"우상호 강원지사·구자열 원주시장 후보, 원주 미래 변화 공약",https://www.yna.co.kr/view/AKR20260522067500062,임보연,2026-05-22T11:27:32+09:00,2026-05-22T18:51:27.273956+09:00
AKR20260522039251001,"정부, 스쿨존 속도완화·축협회장 직선제 등 정상화 과제 확정(종합)",https://www.yna.co.kr/view/AKR20260522039251001,이상현,2026-05-22T11:23:01+09:00,2026-05-22T18:51:27.273988+09:00
AKR20260522013851063,"대전MBC, 김태흠 모두발언 방송 누락…국힘 ""선거공작 의심""(종합)",https://www.yna.co.kr/view/AKR20260522013851063,김준범,2026-05-22T11:20+09:00,2026-05-22T18:51:27.274021+09:00
AKR20260522064800001,"與, 충북·강원行…'강호축' 등 지역공약 앞세워 부동층 공략",https://www.yna.co.kr/view/AKR20260522064800001,서혜림,2026-05-22T11:18:25+09:00,2026-05-22T18:51:27.274054+09:00
AKR20260522066900056,제주 지방선거·서귀포시 보궐후보 토론회 일정 확정,https://www.yna.co.kr/view/AKR20260522066900056,백나용,2026-05-22T11:16:09+09:00,2026-05-22T18:51:27.274097+09:00
